timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-02,151.95,152.34,148.6,150.1,150.1,23824709,0.0000,1.0
2021-09-01,150.83,152.82,150.07,150.31,150.31,23891983,0.0000,1.0
2021-08-31,150.22,150.3,147.69,149.49,149.49,22948969,0.0000,1.0
2021-08-30,146.0,150.52,145.95,149.91,149.91,22817595,0.0000,1.0
2021-08-27,141.69,145.6,141.14,145.1,145.1,23079960,0.0000,1.0
2021-08-26,142.67,143.51,140.44,140.98,140.98,26751242,0.0000,1.0
2021-08-25,143.49,144.4,142.63,143.41,143.41,19031756,0.0000,1.0
2021-08-24,142.61,143.94,142.07,143.25,143.25,18171736,0.0000,1.0
2021-08-23,137.03,142.7,137.0,141.85,141.85,24133063,0.0000,1.0
2021-08-20,132.95,136.27,132.58,135.8,135.8,31270574,0.0000,1.0
2021-08-19,127.74,133.6,127.45,131.73,131.73,40811906,0.0000,1.0
2021-08-18,133.1,134.72,129.51,129.88,129.88,32521180,0.0000,1.0
2021-08-17,134.21,135.35,130.97,133.77,133.77,41598792,0.0000,1.0
2021-08-16,135.94,137.4299,131.4952,137.38,137.38,30660393,0.0000,1.0
2021-08-13,136.18,137.61,135.63,137.14,137.14,18081849,0.0000,1.0
2021-08-12,133.81,136.2,132.24,135.78,135.78,19905052,0.0000,1.0
2021-08-11,136.5,137.05,132.84,134.38,134.38,23296975,0.0000,1.0
2021-08-10,137.77,138.11,133.715,135.11,135.11,26540608,0.0000,1.0
2021-08-09,136.91,137.78,135.68,137.16,137.16,17105447,0.0000,1.0
2021-08-06,136.79,137.93,135.155,136.43,136.43,21576490,0.0000,1.0
2021-08-05,136.56,138.48,135.8,138.23,138.23,19335126,0.0000,1.0
2021-08-04,135.09,136.76,133.8,135.68,135.68,24214242,0.0000,1.0
2021-08-03,133.44,135.2,129.85,135.01,135.01,31708913,0.0000,1.0
2021-08-02,134.54,135.19,132.02,132.7,132.7,27279954,0.0000,1.0
2021-07-30,130.35,133.35,130.27,132.74,132.74,28279693,0.0000,1.0
2021-07-29,133.48,136.12,133.465,134.76,134.76,21251120,0.0000,1.0
2021-07-28,133.86,135.86,131.27,134.1,134.1,35985066,0.0000,1.0
2021-07-27,136.83,136.83,127.83,132.65,132.65,44695529,0.0000,1.0
2021-07-26,136.02,137.57,135.04,137.13,137.13,21494407,0.0000,1.0
2021-07-23,133.7,137.11,132.295,136.56,136.56,25974613,0.0000,1.0
2021-07-22,129.85,132.2,129.8351,132.17,132.17,23739351,0.0000,1.0
2021-07-21,126.31,129.59,126.0,129.45,129.45,20440841,0.0000,1.0
2021-07-20,123.44,128.3,121.55,126.56,126.56,30386173,0.0000,1.0
2021-07-19,121.81,123.0,119.67,122.52,122.52,50571603,0.0000,1.0
2021-07-16,129.655,130.71,125.17,125.53,125.53,31850723,0.0000,1.0
2021-07-15,131.41,131.58,126.46,128.69,128.69,34298242,0.0000,1.0
2021-07-14,133.36,134.08,130.55,131.41,131.41,34010674,0.0000,1.0
2021-07-13,130.38,134.0675,129.81,130.7,130.7,29862501,0.0000,1.0
2021-07-12,130.8,131.2889,129.0584,130.77,130.77,21781547,0.0000,1.0
