timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-02,133.58,134.21,132.32,133.45,133.45,3061402,0.0000,1.0
2021-09-01,132.89,133.38,132.02,132.35,132.35,4650833,0.0000,1.0
2021-08-31,132.53,132.849,131.47,132.13,132.13,4114697,0.0000,1.0
2021-08-30,131.53,133.34,131.3,132.53,132.53,3221839,0.0000,1.0
2021-08-27,128.21,131.23,128.16,130.79,130.79,4805740,0.0000,1.0
2021-08-26,129.5,129.72,127.3861,127.51,127.51,4728474,0.0000,1.0
2021-08-25,129.17,130.25,128.81,129.74,129.74,2558218,0.0000,1.0
2021-08-24,129.03,129.46,128.51,128.99,128.99,2622504,0.0000,1.0
2021-08-23,126.58,129.205,126.58,128.35,128.35,3829675,0.0000,1.0
2021-08-20,122.49,125.38,122.05,125.15,125.15,4910636,0.0000,1.0
2021-08-19,119.11,123.22,119.06,122.1,122.1,7342203,0.0000,1.0
2021-08-18,124.83,126.23,121.41,121.67,121.67,6651616,0.0000,1.0
2021-08-17,125.91,126.559,123.01,125.8,125.8,7390908,0.0000,1.0
2021-08-16,126.24,128.37,124.77,128.28,128.28,4642915,0.0000,1.0
2021-08-13,127.05,127.39,126.66,127.33,127.33,3818431,0.0000,1.0
2021-08-12,125.4,126.82,124.63,126.63,126.63,3443716,0.0000,1.0
2021-08-11,125.65,125.6719,124.6,125.52,125.52,2905743,0.0000,1.0
2021-08-10,124.59,125.31,123.97,124.61,124.61,3571810,0.0000,1.0
2021-08-09,124.53,124.795,123.53,124.23,124.23,2454380,0.0000,1.0
2021-08-06,124.2,124.92,123.96,124.62,124.62,3046104,0.0000,1.0
2021-08-05,122.69,124.03,122.39,123.92,123.92,2528533,0.0000,1.0
2021-08-04,122.3,122.85,121.45,121.69,121.69,3234068,0.0000,1.0
2021-08-03,121.21,123.55,119.31,123.45,123.45,4762763,0.0000,1.0
2021-08-02,122.79,123.32,120.3,120.5,120.5,3653991,0.0000,1.0
2021-07-30,120.83,122.61,120.7092,121.25,121.25,3306409,0.0000,1.0
2021-07-29,122.5,124.07,122.42,123.12,123.12,3210554,0.0000,1.0
