timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-02,428.76,429.32,425.356,427.29,427.29,322677,0.0000,1.0
2021-09-01,428.14,429.91,426.66,426.96,426.96,538164,0.0000,1.0
2021-08-31,429.25,429.38,426.06,426.68,426.68,1792123,0.0000,1.0
2021-08-30,426.19,429.86,426.19,429.3,429.3,372925,0.0000,1.0
2021-08-27,420.95,425.455,420.45,425.09,425.09,232422,0.0000,1.0
2021-08-26,422.45,423.4564,419.7901,420.28,420.28,248178,0.0000,1.0
2021-08-25,423.51,424.72,421.91,422.76,422.76,457189,0.0000,1.0
2021-08-24,423.04,424.01,422.3,422.73,422.73,329863,0.0000,1.0
2021-08-23,417.76,422.63,417.76,422.13,422.13,378878,0.0000,1.0
2021-08-20,412.85,416.67,411.98,416.28,416.28,447383,0.0000,1.0
2021-08-19,405.59,412.75,405.12,411.08,411.08,408792,0.0000,1.0
2021-08-18,412.42,414.03,407.62,408.01,408.01,332247,0.0000,1.0
2021-08-17,414.36,414.88,410.54,413.29,413.29,374929,0.0000,1.0
2021-08-16,414.84,416.9,410.85,416.85,416.85,306267,0.0000,1.0
2021-08-13,414.5,416.3642,413.96,416.08,416.08,204282,0.0000,1.0
2021-08-12,411.5,414.48,409.88,414.2,414.2,218972,0.0000,1.0
2021-08-11,414.0,414.4,409.6678,411.97,411.97,1202516,0.0000,1.0
2021-08-10,416.32,416.9,411.305,412.33,412.33,381483,0.0000,1.0
2021-08-09,416.92,417.33,414.65,415.46,415.46,223821,0.0000,1.0
2021-08-06,415.72,417.0,415.0,416.48,416.48,233211,0.0000,1.0
2021-08-05,415.49,417.318,414.2801,417.13,417.13,198454,0.0000,1.0
2021-08-04,413.47,415.5,412.06,414.51,414.51,380145,0.0000,1.0
2021-08-03,412.13,413.6504,408.77,413.48,413.48,294170,0.0000,1.0
2021-08-02,414.07,415.0,410.82,411.19,411.19,461026,0.0000,1.0
2021-07-30,409.78,412.75,409.51,412.21,412.21,257161,0.0000,1.0
2021-07-29,410.71,414.23,410.14,412.77,412.77,596237,0.0000,1.0
2021-07-28,410.41,412.35,406.64,410.74,410.74,367619,0.0000,1.0
2021-07-27,414.2,414.2,404.74,410.31,410.31,1685101,0.0000,1.0
