timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-02,234.31,234.65,233.68,234.37,234.37,3275088,0.0000,1.0
2021-09-01,233.82,234.21,233.25,233.58,233.58,3533123,0.0000,1.0
2021-08-31,233.56,233.63,232.77,233.17,233.17,3099418,0.0000,1.0
2021-08-30,233.22,233.965,232.8,233.61,233.61,3193974,0.0000,1.0
2021-08-27,230.8,232.935,230.674,232.73,232.73,3749765,0.0000,1.0
2021-08-26,231.62,231.789,230.16,230.25,230.25,3351951,0.0000,1.0
2021-08-25,231.39,232.02,230.98,231.8,231.8,2896979,0.0000,1.0
2021-08-24,230.86,231.41,230.67,231.14,231.14,2772623,0.0000,1.0
2021-08-23,229.07,230.74,228.78,230.32,230.32,3180576,0.0000,1.0
2021-08-20,226.32,228.185,226.02,228.11,228.11,2655130,0.0000,1.0
2021-08-19,224.72,226.82,224.4,226.08,226.08,3964540,0.0000,1.0
2021-08-18,228.11,228.825,226.06,226.25,226.25,3194088,0.0000,1.0
2021-08-17,228.72,229.04,226.78,228.53,228.53,3735148,0.0000,1.0
2021-08-16,229.48,230.245,228.28,230.24,230.24,3195416,0.0000,1.0
2021-08-13,230.23,230.25,229.76,230.15,230.15,2498985,0.0000,1.0
2021-08-12,229.35,230.02,228.77,230.02,230.02,2747173,0.0000,1.0
2021-08-11,229.44,229.49,228.41,229.38,229.38,3051428,0.0000,1.0
2021-08-10,229.0,229.3099,228.51,228.93,228.93,2946671,0.0000,1.0
2021-08-09,228.86,229.04,228.02,228.78,228.78,3295454,0.0000,1.0
2021-08-06,228.93,229.31,228.39,228.87,228.87,2343355,0.0000,1.0
2021-08-05,227.52,228.595,227.24,228.59,228.59,2461933,0.0000,1.0
2021-08-04,227.19,227.69,226.75,226.97,226.97,3374500,0.0000,1.0
2021-08-03,226.83,228.0,225.28,227.99,227.99,3245391,0.0000,1.0
2021-08-02,227.85,228.1,226.1916,226.37,226.37,3558108,0.0000,1.0
2021-07-30,226.57,227.9195,226.4,226.69,226.69,2846768,0.0000,1.0
2021-07-29,227.58,228.75,227.58,228.04,228.04,2951067,0.0000,1.0
2021-07-28,227.12,227.81,226.1881,227.04,227.04,3306665,0.0000,1.0
2021-07-27,227.38,227.4301,224.98,226.69,226.69,4169619,0.0000,1.0
2021-07-26,227.25,227.92,227.13,227.92,227.92,2849851,0.0000,1.0
2021-07-23,226.25,227.61,225.83,227.46,227.46,2982715,0.0000,1.0
2021-07-22,225.2,225.35,224.18,225.21,225.21,2236248,0.0000,1.0
2021-07-21,223.75,225.02,223.55,225.02,225.02,2542533,0.0000,1.0
2021-07-20,219.95,223.71,219.385,223.02,223.02,5362926,0.0000,1.0
2021-07-19,219.81,219.81,217.822,219.23,219.23,6966215,0.0000,1.0
2021-07-16,225.0,225.0,222.19,222.39,222.39,3203304,0.0000,1.0
2021-07-15,224.45,224.76,222.86,224.15,224.15,3276480,0.0000,1.0
2021-07-14,226.27,226.455,224.42,224.94,224.94,2830171,0.0000,1.0
2021-07-13,226.1,226.52,225.12,225.25,225.25,4668405,0.0000,1.0
2021-07-12,225.95,226.61,225.47,226.51,226.51,3294631,0.0000,1.0
2021-07-09,224.16,225.98,224.02,225.88,225.88,3886588,0.0000,1.0
2021-07-08,221.93,223.7196,221.14,223.18,223.18,4486390,0.0000,1.0
2021-07-07,225.08,225.36,223.52,225.08,225.08,4042470,0.0000,1.0
2021-07-06,225.38,225.52,223.163,224.78,224.78,4147184,0.0000,1.0
2021-07-02,224.71,225.41,224.3101,225.27,225.27,3026358,0.0000,1.0
2021-07-01,223.4,224.0596,223.1,224.03,224.03,3835965,0.0000,1.0
2021-06-30,222.69,223.1453,222.46,222.82,222.82,3041724,0.0000,1.0
2021-06-29,223.31,223.4,222.47,222.81,222.81,4068267,0.0000,1.0
2021-06-28,222.99,222.99,221.8601,222.8,222.8,3094871,0.0000,1.0
2021-06-25,222.26,222.7,221.91,222.55,222.55,2801325,0.0000,1.0
2021-06-24,221.51,221.87,221.29,221.72,221.72,2931620,0.6753,1.0
2021-06-23,221.1,221.59,220.8101,220.9,220.229240456,2662360,0.0000,1.0
2021-06-22,219.85,221.35,219.18,220.99,220.318967172,2684282,0.0000,1.0
2021-06-21,217.67,219.795,217.08,219.74,219.072762779,3870334,0.0000,1.0
2021-06-18,217.99,218.15,216.53,216.75,216.091841869,4538330,0.0000,1.0
2021-06-17,219.44,220.0591,217.95,219.47,218.80358263,3002892,0.0000,1.0
2021-06-16,220.97,220.97,218.3809,219.68,219.012944968,3454413,0.0000,1.0
2021-06-15,221.49,221.53,220.1695,220.78,220.109604834,3094036,0.0000,1.0
2021-06-14,221.2,221.39,220.38,221.36,220.687843673,3189351,0.0000,1.0
2021-06-11,220.78,221.02,220.125,221.02,220.348876078,2837163,0.0000,1.0
2021-06-10,220.21,220.9,219.19,220.37,219.700849793,2936714,0.0000,1.0
2021-06-09,220.41,220.5,219.35,219.4,218.733795184,2688611,0.0000,1.0
2021-06-08,220.03,220.2757,218.66,220.02,219.351912563,2831662,0.0000,1.0
2021-06-07,219.55,219.68,219.03,219.57,218.903278981,2762826,0.0000,1.0
2021-06-04,218.57,219.4791,218.46,219.39,218.723825548,2287141,0.0000,1.0
2021-06-03,217.3,218.05,216.08,217.5,216.839564505,2967036,0.0000,1.0
2021-06-02,218.62,218.82,217.89,218.47,217.806619115,3599636,0.0000,1.0
2021-06-01,219.53,219.53,217.81,218.18,217.517499695,3805673,0.0000,1.0
2021-05-28,218.6,218.73,218.025,218.09,217.427772979,2639652,0.0000,1.0
2021-05-27,218.0,218.24,217.59,217.72,217.058896478,2617247,0.0000,1.0
2021-05-26,216.98,217.555,216.482,217.32,216.660111072,3258066,0.0000,1.0
2021-05-25,217.84,218.02,216.2,216.54,215.882479531,3700639,0.0000,1.0
2021-05-24,216.24,217.7,215.92,217.14,216.48065764,2873655,0.0000,1.0
2021-05-21,216.08,216.738,214.71,214.97,214.317246812,3623280,0.0000,1.0
2021-05-20,213.21,215.655,213.18,215.09,214.436882434,3478339,0.0000,1.0
2021-05-19,210.57,212.78,209.75,212.78,212.133896715,6014965,0.0000,1.0
2021-05-18,215.25,215.63,213.34,213.4,212.752014094,3173141,0.0000,1.0
2021-05-17,214.9,215.3794,213.74,215.08,214.426912799,4063156,0.0000,1.0
2021-05-14,213.55,215.96,213.5,215.54,214.885516016,4292564,0.0000,1.0
2021-05-13,210.38,212.92,210.33,211.92,211.276508092,4972257,0.0000,1.0
2021-05-12,212.94,213.63,209.21,209.61,208.973522372,5788414,0.0000,1.0
2021-05-11,213.29,214.91,212.02,214.44,213.788856149,5959913,0.0000,1.0
2021-05-10,218.89,218.8999,216.05,216.18,215.523572665,4443785,0.0000,1.0
2021-05-07,217.4,218.99,217.1,218.75,218.085768899,3868069,0.0000,1.0
2021-05-06,215.78,216.95,214.08,216.91,216.251356031,4131239,0.0000,1.0
2021-05-05,216.94,216.94,215.28,215.81,215.154696165,2032600,0.0000,1.0
2021-05-04,216.48,216.54,213.81,215.85,215.194574705,4899970,0.0000,1.0
2021-05-03,218.57,218.57,217.3,217.48,216.819625235,3846346,0.0000,1.0
2021-04-30,217.51,218.17,216.75,217.1,216.440779099,3256608,0.0000,1.0
2021-04-29,219.6,219.65,216.94,218.7,218.035920723,4178773,0.0000,1.0
2021-04-28,218.07,218.64,217.621,217.87,217.208441006,2603909,0.0000,1.0
2021-04-27,218.3,218.325,217.35,217.9,217.238349911,2669993,0.0000,1.0
